Name,Sector,Industry,Market cap (mil),,,
OSB Group PLC OSB,Financial Services,Mortgage Finance,"GBX 1,461.54",,,
Just Group PLC JUST,Financial Services,Insurance - Specialty,"GBX 1,460.42",,,
Great Portland Estates PLC GPE,Real Estate,REIT - Office,"GBX 1,455.03",,,
Telecom Plus PLC TEP,Utilities,Utilities - Diversified,"GBX 1,452.22",,,
Trainline PLC TRN,Consumer Cyclical,Travel Services,"GBX 1,451.19",,,
Pets at Home Group PLC PETS,Consumer Cyclical,Specialty Retail,"GBX 1,436.84",,,
4imprint Group PLC FOUR,Communication Services,Advertising Agencies,"GBX 1,403.58",,,
Morgan Sindall Group PLC MGNS,Industrials,Engineering & Construction,"GBX 1,401.11",,,
Baltic Classifieds Group PLC BCG,Communication Services,Internet Content & Information,"GBX 1,390.08",,,
Ignitis Group AB IGN,Utilities,Utilities - Diversified,"EUR 1,386.97",,,
Ignitis Group AB 80JT,Utilities,Utilities - Diversified,"EUR 1,386.97",,,
Assura PLC AGR,Real Estate,REIT - Healthcare Facilities,"GBX 1,365.68",,,
Aston Martin Lagonda Global Holdings PLC AML,Consumer Cyclical,Auto Manufacturers,"GBX 1,358.20",,,
Wizz Air Holdings PLC WIZZ,Industrials,Airlines,"GBX 1,353.27",,,
SSP Group PLC SSPG,Consumer Cyclical,Restaurants,"GBX 1,347.86",,,
Ashmore Group PLC ASHM,Financial Services,Asset Management,"GBX 1,270.80",,,
Workspace Group PLC WKP,Real Estate,REIT - Office,"GBX 1,263.38",,,
Bytes Technology Group PLC BYIT,Technology,Software - Infrastructure,"GBX 1,231.90",,,
Telecom Egypt SAE TEEG,Communication Services,Telecom Services,"USD 1,230.37",,,
Oxford Instruments PLC OXIG,Technology,Semiconductor Equipment & Materials,"GBX 1,224.59",,,
Genuit Group PLC GEN,Industrials,Building Products & Equipment,"GBX 1,223.42",,,
Genus PLC GNS,Healthcare,Biotechnology,"GBX 1,220.83",,,
IntegraFin Holdings PLC IHP,Financial Services,Asset Management,"GBX 1,217.61",,,
Nationwide Building Society NBS,Financial Services,Banks - Regional,"GBP 1,204.15",,,
PageGroup PLC PAGE,Industrials,Staffing & Employment Services,"GBX 1,187.80",,,
United Bank Ltd UBLS,Financial Services,Banks - Regional,"USD 1,184.98",,,
United Bank Ltd UBLA,Financial Services,Banks - Regional,"USD 1,182.54",,,
EVRAZ PLC EVR,Basic Materials,Steel,"GBX 1,181.54",,,
Helios Towers PLC HTWS,Communication Services,Telecom Services,"GBX 1,177.28",,,
Keller Group PLC KLR,Industrials,Engineering & Construction,"GBX 1,167.84",,,
Yellow Cake PLC YCA,Energy,Uranium,"GBX 1,166.69",,,
Future PLC FUTR,Communication Services,Publishing,"GBX 1,161.39",,,
EZZ Steel Co SAE AEZD,Basic Materials,Steel,"USD 1,158.84",,,
Ascential PLC ASCL,Communication Services,Advertising Agencies,"GBX 1,143.31",,,
Domino's Pizza Group PLC DOM,Consumer Cyclical,Restaurants,"GBX 1,143.19",,,
Clarkson PLC CKN,Industrials,Marine Shipping,"GBX 1,140.69",,,
Mony Group PLC MONY,Communication Services,Internet Content & Information,"GBX 1,131.77",,,
Bodycote PLC BOY,Industrials,Specialty Industrial Machinery,"GBX 1,130.19",,,
Kainos Group PLC KNOS,Technology,Software - Application,"GBX 1,102.39",,,
Societatea Energetica Electrica SA 51FL,Utilities,Utilities - Regulated Electric,"USD 1,101.49",,,
